               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.025218,             0.02117,            0.001738,             0.88039,             0.73179,             0.78313,             0.51322,            0.031839,            0.020103,            0.010305,           0.0075052,           0.0075052,           0.0075052
                 128,            0.024371,            0.021508,            0.001597,             0.94616,             0.68855,             0.80691,             0.51652,            0.031679,            0.019354,           0.0090368,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024608,            0.021087,           0.0016009,             0.87815,             0.77104,               0.841,              0.5487,             0.03069,            0.017947,           0.0075365,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024493,            0.021576,           0.0016467,             0.96128,             0.70243,             0.80268,             0.53027,            0.031326,            0.019274,           0.0080801,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024981,            0.021446,           0.0017137,              0.8852,             0.75169,             0.80648,              0.5253,            0.030295,            0.019201,           0.0075274,            0.007426,            0.007426,            0.007426
                 132,             0.02356,            0.020939,           0.0015533,             0.87821,             0.73828,             0.81909,             0.53288,            0.031725,            0.018942,           0.0063861,           0.0074062,           0.0074062,           0.0074062
                 133,             0.02305,            0.019877,           0.0018626,             0.88075,             0.71125,              0.8019,             0.53049,            0.031633,             0.01965,           0.0071348,           0.0073864,           0.0073864,           0.0073864
                 134,            0.023845,            0.019942,           0.0016906,             0.78528,             0.74944,             0.80064,              0.5272,            0.031806,            0.017859,           0.0071457,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023908,            0.020658,           0.0013447,             0.86078,             0.70875,             0.79181,             0.51551,             0.03101,            0.017674,           0.0085888,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023785,            0.020857,           0.0013658,              0.8614,             0.70626,             0.76735,             0.49712,            0.031566,            0.018417,           0.0095913,            0.007327,            0.007327,            0.007327
                 137,             0.02384,            0.022214,           0.0019077,             0.85469,             0.68864,             0.72952,             0.48663,            0.030695,            0.018459,           0.0091181,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023529,            0.020143,           0.0016847,             0.79452,             0.74923,             0.77357,             0.51206,            0.031366,            0.019856,            0.010744,           0.0072874,           0.0072874,           0.0072874
                 139,            0.023343,            0.021858,           0.0017385,             0.81202,             0.76024,              0.7894,             0.51533,            0.032402,            0.019769,           0.0062004,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023314,            0.021044,            0.001696,             0.88355,             0.72181,             0.79153,             0.53319,            0.031732,            0.019379,           0.0081385,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023649,             0.01991,           0.0013357,             0.78185,             0.77785,             0.79499,             0.52888,            0.031204,            0.019627,           0.0099169,            0.007228,            0.007228,            0.007228
                 142,            0.023478,            0.019495,           0.0015573,             0.94617,             0.69282,             0.79125,             0.53786,            0.030833,            0.020641,            0.011255,           0.0072082,           0.0072082,           0.0072082
                 143,            0.023351,            0.020418,           0.0015374,             0.78985,              0.7208,             0.76125,             0.50049,            0.031824,            0.020508,            0.010537,           0.0071884,           0.0071884,           0.0071884
                 144,            0.023084,            0.020019,           0.0018133,              0.8512,             0.72076,             0.77851,             0.51606,            0.031401,            0.020115,           0.0093349,           0.0071686,           0.0071686,           0.0071686
                 145,            0.023621,             0.02136,           0.0013998,             0.83805,             0.79251,             0.82771,             0.54738,            0.030733,            0.018556,           0.0082357,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023325,            0.020869,            0.001845,             0.82761,             0.79561,             0.80439,             0.53218,            0.030605,            0.018564,            0.006843,            0.007129,            0.007129,            0.007129
                 147,            0.023432,            0.019828,           0.0015383,             0.82674,             0.76816,             0.79986,             0.52364,            0.031636,            0.018718,           0.0075302,           0.0071092,           0.0071092,           0.0071092
                 148,            0.022974,            0.022037,            0.001648,             0.92136,              0.7154,             0.81813,             0.52948,            0.031246,            0.019358,           0.0086203,           0.0070894,           0.0070894,           0.0070894
                 149,            0.023009,             0.02035,           0.0013036,             0.89279,             0.71182,             0.81023,             0.54833,            0.031125,            0.019841,           0.0094316,           0.0070696,           0.0070696,           0.0070696
                 150,            0.023237,            0.020239,           0.0013678,             0.94296,             0.68936,             0.79214,             0.52945,            0.032136,            0.020258,           0.0083799,           0.0070498,           0.0070498,           0.0070498
                 151,             0.02272,            0.020167,           0.0013404,             0.83166,             0.72538,             0.76602,             0.50305,            0.031488,            0.018847,           0.0090425,             0.00703,             0.00703,             0.00703
                 152,            0.023419,            0.018667,           0.0013157,             0.82373,             0.72476,             0.77953,             0.51522,            0.032657,             0.01903,            0.010207,           0.0070102,           0.0070102,           0.0070102
